Id,ArtistId,DayId,VenueId,Start,End
121,2,1,3,2018-09-30 16:15:09,2018-09-30 16:30:18
122,3,1,3,2018-09-30 15:00:18,2018-09-30 15:15:30
140,4,1,3,2018-09-30 14:15:36,2018-09-30 14:30:53
151,1,1,3,2018-09-30 17:15:36,2018-09-30 17:30:05
175,48,4,4,,
177,50,4,4,,
179,52,4,4,,
180,5,1,3,2018-10-01 00:00:34,2018-10-01 00:15:46
182,7,2,3,2018-09-30 15:45:36,2018-09-30 16:00:47
183,8,2,3,2018-09-30 20:00:46,2018-09-30 20:15:55
185,10,2,3,2018-09-30 22:15:58,2018-09-30 22:30:04
187,12,1,2,2018-09-30 18:15:15,2018-09-30 18:30:28
191,13,1,2,2018-09-30 21:30:44,2018-09-30 21:45:58
192,14,1,2,2018-09-30 23:00:10,2018-09-30 23:15:17
193,15,1,2,2018-10-01 00:30:44,2018-10-01 00:45:52
194,16,2,2,2018-09-30 16:15:20,2018-09-30 16:30:27
195,17,2,2,2018-09-30 15:45:18,2018-09-30 16:00:25
196,18,2,2,2018-09-30 21:30:33,2018-09-30 21:45:42
198,20,2,1,2018-10-01 01:30:53,2018-10-01 01:45:01
200,22,1,1,2018-09-30 11:45:28,2018-09-30 12:00:36
201,23,1,1,2018-09-30 10:45:56,2018-09-30 11:00:02
202,24,2,1,2018-09-30 15:00:32,2018-09-30 15:15:40
203,25,2,1,2018-09-30 17:30:31,2018-09-30 17:45:37
204,26,2,1,2018-09-30 12:30:09,2018-09-30 12:45:17
205,27,2,1,2018-09-30 14:15:04,2018-09-30 14:30:09
206,21,1,1,2018-09-30 14:45:44,2018-09-30 15:00:52
207,6,2,3,2018-09-30 16:45:32,2018-09-30 17:00:41
208,19,2,2,2018-09-30 23:30:56,2018-09-30 23:45:03
209,9,2,3,2018-09-30 15:15:33,2018-09-30 15:30:43
210,11,2,3,2018-10-01 01:00:15,2018-10-01 01:15:24
