Id,ArtistId,DayId,VenueId,Start,End
121,2,1,3,2018-09-30 16:45:29,2018-09-30 17:30:40
122,3,1,3,2018-09-30 15:30:49,2018-09-30 16:15:58.548
140,4,1,3,,
151,1,1,3,2018-09-30 17:45:41,2018-09-30 18:30:46
175,48,4,4,,
177,50,4,4,,
179,52,4,4,,
180,5,1,3,2018-10-01 00:30:58,2018-10-01 01:30:08
182,7,2,3,2018-09-30 16:15:00,2018-09-30 16:45:08
183,8,2,3,2018-09-30 20:30:11,2018-09-30 21:30:20
185,10,2,3,2018-09-30 22:30:20,2018-10-01 00:00:47
187,12,1,2,,
191,13,1,2,2018-09-30 22:00:07,2018-09-30 22:50:17
192,14,1,2,2018-09-30 23:30:28,2018-10-01 00:30:37
193,15,1,2,2018-10-01 01:00:01,2018-10-01 02:00:08
194,16,2,2,2018-09-30 16:45:37,2018-09-30 17:45:44
195,17,2,2,,
196,18,2,2,2018-09-30 22:00:51,2018-09-30 23:00:58
198,20,2,1,2018-10-01 02:00:10,2018-10-01 03:00:17
200,22,1,1,2018-09-30 12:15:31,2018-09-30 13:45:11
201,23,1,1,,
202,24,2,1,2018-09-30 15:30:49,2018-09-30 16:20:56
203,25,2,1,2018-09-30 18:00:44,2018-09-30 19:00:52
204,26,2,1,,
205,27,2,1,2018-09-30 14:30:17,2018-09-30 15:30:29
206,21,1,1,2018-09-30 15:15:01,2018-09-30 16:15:08
207,6,2,3,2018-09-30 17:15:36,2018-09-30 17:45:49
208,19,2,2,2018-10-01 00:00:00,2018-10-01 01:00:00
209,9,2,3,,
210,11,2,3,2018-10-01 01:30:31,2018-10-01 02:30:39
