Id,ArtistId,DayId,VenueId,Start,End
121,2,1,3,2018-09-30 21:45:14,2018-09-30 22:30:56
122,3,1,3,2018-09-30 23:00:31,2018-10-01 00:00:38
140,4,1,3,2018-10-01 00:30:06,2018-10-01 01:30:24
151,1,1,3,2018-09-30 20:30:04,2018-09-30 21:15:05
175,48,4,4,,
177,50,4,4,,
179,52,4,4,,
180,5,1,3,2018-10-01 01:45:06,2018-10-01 03:00:20
182,7,2,3,2018-09-30 20:45:00,2018-09-30 21:30:30
183,8,2,3,2018-09-30 22:30:24,2018-09-30 23:30:32
185,10,2,3,2018-10-01 01:15:33,2018-10-01 02:30:44
187,12,1,2,2018-09-30 21:50:00,2018-09-30 22:50:08
191,13,1,2,2018-09-30 23:00:25,2018-10-01 00:30:34
192,14,1,2,2018-10-01 00:30:52,2018-10-01 02:00:59
193,15,1,2,2018-10-01 02:00:25,2018-10-01 03:30:34
194,16,2,2,2018-09-30 20:30:02,2018-09-30 21:30:10
195,17,2,2,2018-09-30 22:00:53,2018-09-30 23:00:02
196,18,2,2,2018-10-01 00:15:17,2018-10-01 01:15:26
198,20,2,1,2018-10-01 03:00:34,2018-10-01 05:00:43
200,22,1,1,2018-09-30 21:00:16,2018-09-30 22:30:25
201,23,1,1,2018-09-30 23:00:36,2018-10-01 00:00:49
202,24,2,1,2018-09-30 18:15:15,2018-09-30 19:00:22
203,25,2,1,2018-09-30 19:30:11,2018-09-30 20:30:20
204,26,2,1,2018-09-30 21:00:47,2018-09-30 22:00:57
205,27,2,1,2018-09-30 22:30:49,2018-10-01 00:00:57
206,21,1,1,2018-09-30 18:40:28,2018-09-30 20:30:36
207,6,2,3,2018-09-30 19:45:00,2018-09-30 20:15:00
208,19,2,2,2018-10-01 01:30:41,2018-10-01 03:00:46
209,9,2,3,2018-10-01 00:00:29,2018-10-01 01:00:36
210,11,2,3,2018-10-01 02:30:51,2018-10-01 04:00:58
