Id,ArtistId,DayId,VenueId,Start,End
121,2,1,3,2018-09-30 18:00:51,2018-09-30 18:30:05
122,3,1,3,2018-09-30 16:45:00,2018-09-30 17:30:00
140,4,1,3,2018-09-30 15:15:22,2018-09-30 16:15:31
151,1,1,3,2018-09-30 19:00:23,2018-09-30 19:30:37
175,48,4,4,,
177,50,4,4,,
179,52,4,4,,
180,5,1,3,2018-10-01 01:40:24,2018-10-01 01:45:38
182,7,2,3,2018-09-30 17:15:15,2018-09-30 17:45:24
183,8,2,3,2018-09-30 21:45:32,2018-09-30 22:30:44
185,10,2,3,2018-10-01 01:00:17,2018-10-01 01:15:23
187,12,1,2,2018-09-30 18:45:44,2018-09-30 20:45:55
191,13,1,2,2018-09-30 22:55:49,2018-09-30 23:00:04
192,14,1,2,2018-10-01 00:25:45,2018-10-01 00:30:54
193,15,1,2,2018-10-01 01:55:17,2018-10-01 02:00:26
194,16,2,2,2018-09-30 18:15:51,2018-09-30 19:15:00
195,17,2,2,2018-09-30 16:15:37,2018-09-30 17:45:56
196,18,2,2,2018-10-01 00:10:06,2018-10-01 00:15:17
198,20,2,1,2018-10-01 02:55:02,2018-10-01 03:00:11
200,22,1,1,2018-09-30 14:15:19,2018-09-30 16:15:30
201,23,1,1,2018-09-30 11:15:13,2018-09-30 13:45:32
202,24,2,1,2018-09-30 16:40:14,2018-09-30 17:30:21
203,25,2,1,2018-09-30 19:05:12,2018-09-30 19:30:17
204,26,2,1,2018-09-30 14:30:31,2018-09-30 15:30:20
205,27,2,1,2018-09-30 15:50:02,2018-09-30 16:20:09
206,21,1,1,2018-09-30 16:45:17,2018-09-30 17:45:24
207,6,2,3,2018-09-30 18:15:00,2018-09-30 18:45:07
208,19,2,2,2018-10-01 01:25:58,2018-10-01 01:30:09
209,9,2,3,2018-09-30 15:45:58,2018-09-30 16:45:05
210,11,2,3,2018-10-01 02:25:47,2018-10-01 02:30:54
